table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_chemical,LCR_P organic (mg%),NA,NA,NA,NA,NA,NA,difference between total P and inorganic P: organic phosphorus measured by the increase in soluble P caused by ignition; ignition at 550°C and extraction 0.5M H2SO4 at a ratio of 1:200 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P Total (mg%),NA,NA,NA,NA,NA,NA,sum of inorganic and organic phosphorus; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P retention (%),NA,NA,NA,NA,NA,NA,"phosphorus retention, soil shaken with 1,000 mg/L P solution at pH 4.6; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_CEC (me.%),TRUE,cec,usda.a723,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_usda.a723_cmolc.kg,ammonium acetate extraction and leaching using sodium chloride; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Sum bases (me.%),NA,NA,NA,NA,NA,NA,calculation; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Base saturation (%),NA,NA,NA,NA,NA,NA,calculation; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Ca (me.%),TRUE,ca.ext,usda.a722,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a722_cmolc.kg,ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Mg (me.%),TRUE,mg.ext,usda.a724,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a724_cmolc.kg,ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange K (me.%),TRUE,k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a725_cmolc.kg,ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Na (me.%),TRUE,na.ext,usda.a726,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a726_cmolc.kg,ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,Scion_Sample ID,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Scion_pH [H2O],TRUE,ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index,pH measured by 1:2.5 soil/water suspension; Garrett et al. (2022)
FR380_chemical,Scion_Bray P (mg/kg) seq 1,NA,NA,NA,NA,NA,NA,"Bray-extractable (available) phosphorus using FIA colorimetry after sequential 1:10 Bray 2 (NH4F/HCl) extraction (sequential extraction 1, 2, and 3); Garrett et al. (2022)"
FR380_chemical,Scion_Bray P (mg/kg) seq 2,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Scion_Bray P (mg/kg) seq 3,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Scion_Mehlich 3 B (mg/kg),TRUE,b.ext,mel3,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",b.ext_mel3_mg.kg,"available elements (aluminium, boron, calcium, copper, iron, magnesium, manganese, sodium, phosphorus, potassium, zinc) using ICP-MS (inductively coupled plasma mass spectrometry) after Mehlich 3 extraction; Garrett et al. (2022)"
FR380_chemical,Scion_Mehlich 3 Al (mg/kg),TRUE,al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Na (mg/kg),TRUE,na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg,NA
